Index,ARIMA MAPE,Four Inputs RNN MAPE,One Input RNN MAPE
2017-09-17,8.709844624122514,20.05592122822489,25.398723863440342
2017-09-18,22.357205286535752,25.43466788437545,26.793472168694393
2017-09-19,26.85358794485297,21.453168276960184,16.034472464686782
2017-09-20,14.717615047050483,7.688187134919043,3.330645630914774
2017-09-21,21.162126789074257,24.653536814674677,26.34545282272458
2017-09-22,26.63331768709258,21.56711016379299,17.705565834387322
2017-09-23,18.854327652152993,11.98022796228105,7.425963511716878
2017-09-24,13.942808777395049,13.243877151596884,15.195735680598698
2017-09-25,21.596109433071824,18.28697433638432,24.616480724871426
2017-09-26,21.701675393718137,10.850091733876317,12.911218572297024
2017-09-27,10.744190886778684,1.429764473196749,7.196591497906035
2017-09-28,8.118874390010031,14.3741668648659,2.0777250985232505
2017-09-29,7.572888613341361,11.787851459032641,29.402894113656796
2017-09-30,2.285463645123187,7.161652905679464,8.293945559836024
2017-10-01,16.824579037405503,14.462671197034707,30.339892277565873
