Index,ARIMA MAPE,Four Inputs RNN MAPE,One Input RNN MAPE
2017-09-17,1.075328404164368,0.4096772841712385,0.48475778238806666
2017-09-18,5.5947502736545305,5.063418143934515,3.106891644084674
2017-09-19,6.772914965578288,5.2723605071345405,0.5865053664716899
2017-09-20,7.86657744110812,9.648318298727451,0.24650031303037626
2017-09-21,1.8910905060809262,5.322527375627629,8.053594670822985
2017-09-22,0.14835767192932062,7.283315182455184,2.8044759903611456
2017-09-23,2.2732367290245423,7.499904823972213,0.8232888393564268
2017-09-24,0.2165558579517055,3.5884232753417615,3.600775944925501
2017-09-25,2.4704883918326774,5.384072004547012,1.0290734858245476
2017-09-26,1.5445785412155462,7.615948138812341,2.4315447695452717
2017-09-27,3.786027991763817,1.6060342202612752,6.707515593215819
2017-09-28,7.823444773380688,0.6817124799917958,5.280924298354125
2017-09-29,7.939354506969318,4.55358448100847,1.5935608898310374
2017-09-30,10.107069300864268,8.306377637486511,3.353449696345818
2017-10-01,4.952863205996145,0.6061853816853348,3.3026031949626757
