Index,ARIMA MAPE,Four Inputs RNN MAPE,One Input RNN MAPE
2017-09-17,1.0753810714014065,1.4769684863485308,0.4637399401634447
2017-09-18,5.594853148169196,3.6061311486209466,3.118214903008295
2017-09-19,6.773072307628644,5.8867746617846395,0.6005492990796502
2017-09-20,7.8667900611557915,6.281301282537402,0.2620780936511951
2017-09-21,1.8913801682139681,4.1917403303053336,8.03859157842264
2017-09-22,0.14870031209527138,5.130239823489126,2.8264108842105164
2017-09-23,2.2736267311719547,5.226337359623246,0.811654619434223
2017-09-24,0.21702183213240023,5.495714418002279,3.6518434735187824
2017-09-25,2.4709951726229082,1.0062151824311072,1.007058673486707
2017-09-26,1.5451620093252176,1.4885172561555924,2.4319885690835186
2017-09-27,3.7853534087059306,2.71227066430454,6.749354022107476
2017-09-28,7.8227080864836855,2.79002365641361,5.293538227614198
2017-09-29,7.938575867689137,4.235217640995972,1.6451363817204256
2017-09-30,10.106211842776048,2.656204259460465,3.444143803056294
2017-10-01,4.951997592964107,0.5751819515702851,3.2371467856032234
